raceId,precipitation_mm,temp_max,wind_max,is_wet_race
1,0.0,24.3,16.6,0
2,20.3,28.7,9.3,1
3,24.0,22.2,32.3,1
4,0.0,31.3,32.7,0
5,0.3,21.5,14.6,0
6,0.0,27.0,9.0,0
7,0.0,29.0,13.5,0
8,0.0,15.7,17.1,0
9,1.0,19.2,20.2,0
10,0.0,23.8,19.9,0
11,0.0,33.2,20.2,0
12,0.0,17.8,15.7,0
13,0.3,25.9,6.7,0
14,3.1,29.3,14.2,1
15,0.0,24.9,9.4,0
16,24.5,23.8,11.0,1
17,0.0,35.0,18.4,0
18,0.0,37.3,23.1,0
19,14.5,28.7,7.9,1
20,0.0,24.7,24.3,0
21,0.0,20.1,12.8,0
22,0.0,16.1,16.9,0
23,6.8,20.8,17.4,1
24,4.5,29.1,22.3,1
25,0.5,27.9,10.3,0
26,11.8,18.0,31.1,1
27,0.0,22.5,19.3,0
28,0.0,27.1,12.6,0
29,0.0,30.4,23.0,0
30,2.1,15.4,27.0,1
31,9.0,16.3,7.9,1
32,0.0,28.9,14.1,0
33,0.0,17.5,6.8,0
34,0.9,27.0,8.8,0
35,8.8,27.4,17.3,1
36,0.0,21.4,15.9,0
37,3.6,29.5,7.6,1
38,0.0,25.1,31.6,0
39,0.0,24.9,21.4,0
40,3.3,20.9,12.8,1
41,0.4,24.7,8.7,0
42,0.0,33.1,10.0,0
43,4.2,21.5,10.5,1
44,0.0,17.2,14.0,0
45,0.0,17.2,21.2,0
46,0.0,26.0,20.0,0
47,0.0,33.0,20.5,0
48,0.0,25.0,9.4,0
49,0.0,18.5,18.4,0
50,21.1,14.9,8.9,1
51,35.6,28.1,26.9,1
52,2.0,32.4,17.6,1
53,0.0,20.7,34.9,0
54,9.8,28.3,11.6,1
55,0.0,15.7,22.9,0
56,0.0,23.3,12.9,0
57,0.0,17.2,18.2,0
58,0.0,22.9,16.6,0
59,0.0,23.4,11.6,0
60,0.0,23.9,12.5,0
61,0.0,26.5,9.1,0
62,0.0,32.2,19.9,0
63,0.0,32.9,11.1,0
64,0.3,30.8,15.2,0
65,2.8,18.9,17.1,1
66,0.0,33.0,12.4,0
67,0.0,24.7,8.4,0
68,0.5,24.0,9.3,0
69,0.0,19.8,35.5,0
70,0.5,21.2,18.3,0
71,0.0,18.5,19.3,0
72,0.1,32.3,15.3,0
73,0.0,29.2,33.5,0
74,2.4,19.2,11.8,1
75,0.0,20.3,16.3,0
76,0.1,21.4,9.6,0
77,0.0,21.3,12.7,0
78,0.5,30.2,16.0,0
79,0.0,22.8,11.5,0
80,0.0,28.8,14.6,0
81,0.0,25.0,13.9,0
82,3.4,22.5,15.6,1
83,4.3,33.6,13.3,1
84,0.5,25.9,11.5,0
85,2.2,23.5,12.8,1
86,6.0,17.7,14.0,1
87,22.2,21.1,18.5,1
88,0.7,24.6,13.1,0
89,0.0,22.6,9.4,0
90,0.0,17.9,19.2,0
91,5.1,29.3,12.8,1
92,0.0,27.4,37.0,0
93,4.9,16.2,18.8,1
94,0.0,16.8,18.0,0
95,2.4,18.6,9.4,1
96,2.0,19.6,14.5,1
97,0.0,25.1,16.2,0
98,0.0,22.9,11.6,0
99,0.0,26.7,12.3,0
100,0.5,16.8,16.8,0
101,0.0,25.1,13.9,0
102,0.0,23.6,21.7,0
103,0.2,18.0,22.3,0
104,4.2,22.9,9.0,1
105,0.9,25.9,16.7,0
106,1.8,25.5,20.5,1
107,6.8,26.4,26.7,1
108,1.1,18.3,25.4,1
109,1.9,31.1,9.9,1
110,14.6,21.1,12.6,1
111,0.0,18.2,12.2,0
112,0.0,22.5,16.3,0
113,4.6,18.9,5.7,1
114,1.2,22.3,6.8,1
115,0.2,19.2,18.6,0
116,0.0,22.7,7.8,0
117,0.0,23.0,11.3,0
118,0.0,22.0,23.5,0
119,0.0,34.9,9.0,0
120,0.0,27.8,19.9,0
121,0.0,22.2,10.4,0
122,2.9,13.3,17.9,1
123,6.2,23.2,10.0,1
124,1.0,19.3,21.3,0
125,8.8,30.1,12.1,1
126,0.0,28.7,12.6,0
127,0.6,17.9,11.0,0
128,0.0,18.8,19.7,0
129,8.3,18.8,8.1,1
130,0.2,21.1,9.8,0
131,0.1,22.4,26.0,0
132,0.0,19.4,12.3,0
133,0.4,18.3,19.8,0
134,0.0,23.9,13.5,0
135,0.0,28.0,11.5,0
136,0.0,27.1,11.9,0
137,0.0,15.4,18.2,0
138,0.0,23.9,14.1,0
139,0.0,25.5,11.3,0
140,0.0,24.8,16.1,0
141,0.0,24.5,21.7,0
142,1.6,29.1,15.5,1
143,9.3,26.8,7.9,1
144,0.0,13.7,18.6,0
145,0.0,17.6,21.3,0
146,0.0,18.8,9.4,0
147,0.0,25.0,7.8,0
148,0.1,24.8,17.3,0
149,0.0,21.1,8.6,0
150,0.0,23.6,13.3,0
151,0.1,16.1,11.9,0
152,0.0,28.2,12.2,0
153,0.2,29.8,8.7,0
154,1.5,15.5,20.2,1
155,0.0,20.3,11.7,0
156,0.0,20.6,11.4,0
157,0.0,22.7,13.5,0
158,0.0,28.1,14.2,0
159,0.8,25.4,13.0,0
160,1.4,17.6,10.8,1
161,0.8,13.7,14.1,0
162,1.7,21.2,14.5,1
163,5.1,10.3,17.2,1
164,0.0,25.4,9.2,0
165,1.9,15.8,11.3,1
166,0.4,29.8,17.7,0
167,0.1,15.3,15.0,0
168,4.4,21.0,9.9,1
169,0.2,31.0,11.4,0
170,5.5,17.2,14.1,1
171,0.0,25.3,6.9,0
172,10.5,18.8,18.5,1
173,7.5,20.6,23.1,1
174,0.1,29.1,15.5,0
175,1.4,19.3,17.4,1
176,0.0,23.5,15.6,0
177,0.3,24.7,12.3,0
178,2.2,20.5,7.8,1
179,0.0,26.0,17.4,0
180,0.0,30.8,17.7,0
181,7.7,22.0,19.5,1
182,0.0,23.1,23.2,0
183,0.0,19.6,7.2,0
